nume_actiune,timestamp
READ_ALL_COMENZI,2025-05-19 22:37:38
READ_ALL_CLIENTS,2025-05-19 22:37:38
CREATE_PRODUS,2025-05-19 22:37:38
CREATE_PRODUS,2025-05-19 22:37:38
CREATE_PRODUS,2025-05-19 22:37:38
CREATE_CLIENT,2025-05-19 22:37:38
READ_ALL_CLIENTS,2025-05-19 22:37:38
READ_ALL_COMENZI,2025-05-19 22:37:38
CREATE_CLIENT,2025-05-19 22:37:38
READ_ALL_CLIENTS,2025-05-19 22:37:38
READ_ALL_COMENZI,2025-05-19 22:37:38
READ_ALL_COMENZI,2025-05-19 22:37:38
READ_ALL_CLIENTS,2025-05-19 22:37:38
READ_ALL_CLIENTS,2025-05-19 22:37:38
READ_ALL_COMENZI,2025-05-19 22:37:38
READ_ALL_COMENZI,2025-05-19 22:37:38
READ_ALL_PRODUSE,2025-05-19 22:37:38
READ_ALL_PRODUSE,2025-05-19 22:37:38
READ_ALL_FACTURI,2025-05-19 22:37:39
READ_ALL_COMENZI,2025-05-19 22:37:39
READ_ALL_PRODUSE,2025-05-19 22:37:39
READ_ALL_PRODUSE,2025-05-19 22:37:39
READ_ALL_CLIENTS,2025-05-19 22:38:12
READ_ALL_COMENZI,2025-05-19 22:38:12
READ_ALL_CLIENTS,2025-05-19 22:38:12
CREATE_PRODUS,2025-05-19 22:38:12
CREATE_PRODUS,2025-05-19 22:38:12
CREATE_PRODUS,2025-05-19 22:38:12
CREATE_CLIENT,2025-05-19 22:38:12
READ_ALL_CLIENTS,2025-05-19 22:38:12
READ_ALL_COMENZI,2025-05-19 22:38:12
CREATE_CLIENT,2025-05-19 22:38:12
READ_ALL_CLIENTS,2025-05-19 22:38:12
READ_ALL_COMENZI,2025-05-19 22:38:12
READ_ALL_COMENZI,2025-05-19 22:38:12
READ_ALL_CLIENTS,2025-05-19 22:38:12
READ_ALL_CLIENTS,2025-05-19 22:38:12
READ_ALL_COMENZI,2025-05-19 22:38:12
READ_ALL_COMENZI,2025-05-19 22:38:12
READ_ALL_PRODUSE,2025-05-19 22:38:12
READ_ALL_PRODUSE,2025-05-19 22:38:12
READ_ALL_FACTURI,2025-05-19 22:38:12
READ_ALL_COMENZI,2025-05-19 22:38:12
READ_ALL_PRODUSE,2025-05-19 22:38:12
READ_ALL_PRODUSE,2025-05-19 22:38:12
READ_ALL_CLIENTS,2025-05-19 22:38:28
READ_ALL_COMENZI,2025-05-19 22:38:28
READ_ALL_CLIENTS,2025-05-19 22:38:28
CREATE_PRODUS,2025-05-19 22:38:28
CREATE_PRODUS,2025-05-19 22:38:28
CREATE_PRODUS,2025-05-19 22:38:28
CREATE_CLIENT,2025-05-19 22:38:28
READ_ALL_CLIENTS,2025-05-19 22:38:28
READ_ALL_COMENZI,2025-05-19 22:38:28
CREATE_CLIENT,2025-05-19 22:38:28
READ_ALL_CLIENTS,2025-05-19 22:38:28
READ_ALL_COMENZI,2025-05-19 22:38:28
READ_ALL_COMENZI,2025-05-19 22:38:28
READ_ALL_CLIENTS,2025-05-19 22:38:28
READ_ALL_CLIENTS,2025-05-19 22:38:28
READ_ALL_COMENZI,2025-05-19 22:38:28
READ_ALL_COMENZI,2025-05-19 22:38:28
READ_ALL_PRODUSE,2025-05-19 22:38:28
READ_ALL_PRODUSE,2025-05-19 22:38:28
READ_ALL_FACTURI,2025-05-19 22:38:28
READ_ALL_COMENZI,2025-05-19 22:38:28
READ_ALL_PRODUSE,2025-05-19 22:38:28
READ_ALL_PRODUSE,2025-05-19 22:38:28
READ_ALL_CLIENTS,2025-05-19 22:40:44
READ_ALL_COMENZI,2025-05-19 22:40:44
READ_ALL_CLIENTS,2025-05-19 22:40:44
CREATE_PRODUS,2025-05-19 22:40:44
CREATE_PRODUS,2025-05-19 22:40:44
CREATE_PRODUS,2025-05-19 22:40:44
READ_ALL_CLIENTS,2025-05-19 22:40:44
READ_ALL_COMENZI,2025-05-19 22:40:44
READ_ALL_CLIENTS,2025-05-19 22:40:44
READ_ALL_COMENZI,2025-05-19 22:40:44
READ_ALL_COMENZI,2025-05-19 22:40:44
READ_ALL_CLIENTS,2025-05-19 22:40:44
READ_ALL_CLIENTS,2025-05-19 22:40:44
READ_ALL_COMENZI,2025-05-19 22:40:44
READ_ALL_COMENZI,2025-05-19 22:40:44
READ_ALL_PRODUSE,2025-05-19 22:40:44
READ_ALL_PRODUSE,2025-05-19 22:40:44
READ_ALL_FACTURI,2025-05-19 22:40:44
READ_ALL_COMENZI,2025-05-19 22:40:44
READ_ALL_PRODUSE,2025-05-19 22:40:44
READ_ALL_PRODUSE,2025-05-19 22:40:44
READ_ALL_CLIENTS,2025-05-19 22:49:00
READ_ALL_COMENZI,2025-05-19 22:49:00
READ_ALL_CLIENTS,2025-05-19 22:49:00
CREATE_PRODUS,2025-05-19 22:49:00
CREATE_PRODUS,2025-05-19 22:49:00
CREATE_PRODUS,2025-05-19 22:49:00
